"first","educ","educt","hrwage","lwage","age","white","female","selfemp","uncov","married","tenure","nsibs","daded","momed","educt_t","educ_t","lwage_t","age2","twoplus","aeduct","dlwage","deduc","deduct","dceduc","dceduct","cseduc","cseduct","dcsumint","dcsuminz","duncov","dmaried","dtenure","pedhs","pedcl","dcpedhs","dcpedhst","dcpedcl","dcpedclt"
,13.333333015441895,14,12.997209548950195,2.5640594959259033,34.24708938598633,1,0,0,0,1,4.666666507720947,2,8,10,14,15,2.8715431690216064,1172.8631591796875,1,14.5,-0.3074836730957031,-1.6666669845581055,0,-0.6666669845581055,-1,13.666666030883789,14.5,-9.111115455627441,-14.5,0,0,-3.6666665077209473,0,0,0,0,0,0
,13,14,5.304698944091797,1.6685930490493774,21.804229736328125,1,0,0,0,0,0.4169999957084656,,14,12,12,13,1.8083549737930298,475.4244384765625,0,13.5,-0.13976192474365234,0,-2,-1,-1,13.5,12.5,-13.5,-12.5,0,0,-0.5830000042915344,0,1,0,0,-1,-1
1,13,12,6.100403785705566,1.8083549737930298,21.804229736328125,1,0,0,0,0,1,,16,12,14,13,1.6685930490493774,475.4244384765625,0,12.5,0.13976192474365234,0,2,1,1,12.5,13.5,12.5,13.5,0,0,0.5830000042915344,0,1,0,0,1,1
1,12,12,11.670337677001953,2.457050323486328,39.35111999511719,1,1,0,1,1,16,,12,12,12,12,2.457050323486328,1548.5106201171875,0,12,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0
,12,12,11.670337677001953,2.457050323486328,39.35111999511719,1,1,0,1,1,16,,8,8,12,12,2.457050323486328,1548.5106201171875,0,12,0,0,0,0,0,12,12,0,0,0,0,0,0,0,0,0,0,0
,18,18,8.862968444824219,2.1685733795166016,24.805267333984375,1,0,0,0,0,1.5834999084472656,1,14,12.5,18,18,2.0570015907287598,615.30126953125,1,18,0.1115717887878418,0,0,0,0,18,18,0,0,0,0,0.49999988079071045,1,0,0,0,0,0
1,18,18,7.833032608032227,2.0570015907287598,24.805267333984375,1,0,0,0,0,1.0835000276565552,1,13,12,18,18,2.1685733795166016,615.30126953125,1,18,-0.1115717887878418,0,0,0,0,18,18,0,0,0,0,-0.49999988079071045,1,0,0,0,0,0
,14,16,19.40727424621582,2.9541330337524414,31.72895050048828,1,1,0,0,1,7,3,12,13.5,14,16,3.242790699005127,1006.726318359375,1,16,-0.28865766525268555,-2,-2,-2,-2,15,15,-30,-30,-1,0,-0.75,1,0,-2,-2,0,0
1,16,14,26.213455200195312,3.242790699005127,31.72895050048828,1,1,0,1,1,7.75,3,12,14,16,14,2.9541330337524414,1006.726318359375,1,14,0.28865766525268555,2,2,2,2,15,15,30,30,1,0,0.75,1,0,2,2,0,0
,14,14,8.222283363342285,2.1068480014801025,30.652969360351562,1,1,0,0,1,0.5,,12,12,13,13,2.0050652027130127,939.6045532226562,0,13.5,0.10178279876708984,1,-1,0,0,14,13,0,0,0,0,-0.3330000042915344,1,0,0,0,0,0
1,13,13,7.426578521728516,2.0050652027130127,30.652969360351562,1,1,0,0,1,0.8330000042915344,,12,12,14,14,2.1068480014801025,939.6045532226562,0,13.5,-0.10178279876708984,-1,1,0,0,13,14,0,0,0,0,0.3330000042915344,1,0,0,0,0,0
,15,14.5,12.412635803222656,2.5187058448791504,31.94934844970703,1,1,0,0,0,2.75,3,18,14,16,16,2.4167919158935547,1020.7608642578125,1,15.25,0.1019139289855957,-1,1.5,0.5,0,14.75,16,7.375,0,0,0,1.75,0,1,0,0,0.5,0
1,16,16,11.226829528808594,2.4167919158935547,31.94934844970703,1,1,0,0,0,1,3,18,12,14.5,15,2.5187058448791504,1020.7608642578125,1,15.5,-0.1019139289855957,1,-1.5,0,-0.5,16,14.75,0,-7.375,0,0,-1.75,0,1,0,0,0,-0.5
1,16,16,5.304698944091797,1.6685930490493774,37.72210693359375,1,1,1,0,1,0.5,,16,12,16,16,0.9754458665847778,1422.9573974609375,0,16,0.6931471824645996,0,0,0,0,16,16,0,0,0,0,-3.5,0,1,0,0,0,0
,16,16,2.6523494720458984,0.9754458665847778,37.72210693359375,1,1,0,0,1,4,,16,12,16,16,1.6685930490493774,1422.9573974609375,0,16,-0.6931471824645996,0,0,0,0,16,16,0,0,0,0,3.5,0,1,0,0,0,0
,15,18,11.935572624206543,2.479523181915283,33.59068298339844,0,1,0,1,1,7.5,,8,12,14,16,2.9931893348693848,1128.333984375,0,17,-0.5136661529541016,-1,-4,-3,-2,16.5,15,-49.5,-30,1,1,4,0,0,0,0,0,0
1,16,14,19.949203491210938,2.9931893348693848,33.59068298339844,0,1,0,0,0,3.5,,6,12,18,15,2.479523181915283,1128.333984375,0,14.5,0.5136661529541016,1,4,2,3,15,16.5,30,49.5,-1,-1,-4,0,0,0,0,0,0
,16,16,25.40224838256836,3.223680019378662,32.645103454589844,0,1,0,1,0,4,3,12,12,16,16,2.9707348346710205,1065.7027587890625,1,16,0.2529451847076416,0,0,0,0,16,16,0,0,0,0,-4.5,1,0,0,0,0,0
1,16,16,22.75778579711914,2.9707348346710205,32.645103454589844,0,1,0,1,0,8.5,3,12,14,16,16,3.223680019378662,1065.7027587890625,1,16,-0.2529451847076416,0,0,0,0,16,16,0,0,0,0,4.5,1,0,0,0,0,0
1,14,12,6.1207733154296875,1.8116884231567383,33.462005615234375,1,0,1,0,0,4,,12,12,12,12,1.1269958019256592,1119.705810546875,0,12,0.6846926212310791,2,0,2,0,13,12,26,0,0,0,0,1,0,2,0,0,0
,12,12,3.0863704681396484,1.1269958019256592,33.462005615234375,1,0,1,0,0,4,,12,12,12,14,1.8116884231567383,1119.705810546875,0,13,-0.6846926212310791,-2,0,0,-2,12,13,0,-26,0,0,0,1,0,0,-2,0,0
1,18,17,20.291034698486328,2.9800572395324707,28.067413330078125,1,1,0,1,1,5.5,3,10.5,12,18,17,2.821378231048584,787.7796630859375,1,17,0.15867900848388672,1,1,1,1,17.5,17.5,17.5,17.5,1,0,2,1,0,1,1,0,0
,17,18,16.79998779296875,2.821378231048584,28.067413330078125,1,1,0.5,0,1,3.5,3,11,12,17,18,2.9800572395324707,787.7796630859375,1,18,-0.15867900848388672,-1,-1,-1,-1,17.5,17.5,-17.5,-17.5,-1,0,-2,1,0,-1,-1,0,0
1,16,14,15.91409683227539,2.767205238342285,30.819976806640625,1,1,0,0,0,3,,12,12,16,15,2.767205238342285,949.8709716796875,0,14.5,0,1,2,2,1,15,15.5,30,15.5,-1,0,2.9809999465942383,1,0,2,1,0,0
,15,16,15.91409683227539,2.767205238342285,30.819976806640625,1,1,0,1,0,0.018999997526407242,,12,12,14,16,2.767205238342285,949.8709716796875,0,16,0,-1,-2,-1,-2,15.5,15,-15.5,-30,1,0,-2.9809999465942383,1,0,-1,-2,0,0
,12,12,6.896108627319336,1.930957317352295,32.34770202636719,1,1,0,0,1,4,,12,12,12,12,1.9012153148651123,1046.373779296875,0,12,0.029742002487182617,0,0,0,0,12,12,0,0,0,0,3.5,0,1,0,0,0,0
1,12,12,6.694025039672852,1.9012153148651123,32.34770202636719,1,1,0,0,1,0.5,,16,12,12,12,1.930957317352295,1046.373779296875,0,12,-0.029742002487182617,0,0,0,0,12,12,0,0,0,0,-3.5,0,1,0,0,0,0
1,12,12,26.523494720458984,3.2780308723449707,30.351806640625,1,1,0,0,1,9,,8,12,12,12,1.311918020248413,921.232177734375,0,12,1.9661128520965576,0,0,0,0,12,12,0,0,0,0,8.833000183105469,0,0,0,0,0,0
,12,12,3.713289260864258,1.311918020248413,30.351806640625,1,1,0,0,1,0.16699999570846558,,8,11,12,12,3.2780308723449707,921.232177734375,0,12,-1.9661128520965576,0,0,0,0,12,12,0,0,0,0,-8.833000183105469,0,0,0,0,0,0
1,15,18,7.134819984436035,1.96498703956604,44.70635986328125,1,1,0,0,1,1.25,,12,16,14,18,2.179816484451294,1998.6585693359375,0,18,-0.2148294448852539,-3,-4,-3,-4,16.5,16,-49.5,-64,0,0,0.8330000042915344,0,1,0,0,-3,-4
,18,14,8.844682693481445,2.179816484451294,44.70635986328125,1,1,0,0,1,0.4169999957084656,,12,16,18,15,1.96498703956604,1998.6585693359375,0,14.5,0.2148294448852539,3,4,4,3,16,16.5,64,49.5,0,0,-0.8330000042915344,0,1,0,0,4,3
,12,18,15.383626937866211,2.7333037853240967,31.808349609375,1,0,0,0,1,13,,,8,12,18,2.457050323486328,1011.7711181640625,0,18,0.27625346183776855,-6,-6,-6,-6,15,15,-90,-90,0,0,9,0,0,0,0,0,0
1,18,12,11.670337677001953,2.457050323486328,31.808349609375,1,0,0,0,1,4,,8,8,18,12,2.7333037853240967,1011.7711181640625,0,12,-0.27625346183776855,6,6,6,6,15,15,90,90,0,0,-9,0,0,0,0,0,0
1,12,12,65.28860473632812,4.1788177490234375,19.222442626953125,1,0,1,0,0,4,,12,12,12,12,2.06907057762146,369.5022888183594,0,12,2.1097471714019775,0,0,0,0,12,12,0,0,0,0,3.25,1,0,0,0,0,0
,12,12,7.917461395263672,2.06907057762146,19.222442626953125,1,0,1,0,0,0.75,,12,12,12,12,4.1788177490234375,369.5022888183594,0,12,-2.1097471714019775,0,0,0,0,12,12,0,0,0,0,-3.25,1,0,0,0,0,0
1,16,16,12.538379669189453,2.528794288635254,40.50102233886719,1,0,0,1,1,13,,12,12,16,16,2.266429901123047,1640.332763671875,0,16,0.26236438751220703,0,0,0,0,16,16,0,0,0,0,-4,1,0,0,0,0,0
,16,16,9.644906997680664,2.266429901123047,40.50102233886719,1,0,0,1,1,17,,12,13,16,16,2.528794288635254,1640.332763671875,0,16,-0.26236438751220703,0,0,0,0,16,16,0,0,0,0,4,1,0,0,0,0,0
,13,13,5.145557403564453,1.6381336450576782,61.957550048828125,1,1,0,1,1,8,,12,12,13,13,2.138596534729004,3838.738037109375,0,13,-0.5004628896713257,0,0,0,0,13,13,0,0,1,0,-17,1,0,0,0,0,0
1,13,13,8.487518310546875,2.138596534729004,61.957550048828125,1,1,0,0,1,25,,12,12,13,13,1.6381336450576782,3838.738037109375,0,13,0.5004628896713257,0,0,0,0,13,13,0,0,-1,0,17,1,0,0,0,0,0
,16,15,11.788219451904297,2.4671006202697754,26.669403076171875,1,1,0,0,0,0.5,,12,12,16,15,1.6685930490493774,711.257080078125,0,15,0.798507571220398,1,1,1,1,15.5,15.5,15.5,15.5,0,0,0.460999995470047,1,0,1,1,0,0
1,15,16,5.304698944091797,1.6685930490493774,26.669403076171875,1,1,0,0,0,0.039000000804662704,,13,12,15,16,2.4671006202697754,711.257080078125,0,16,-0.798507571220398,-1,-1,-1,-1,15.5,15.5,-15.5,-15.5,0,0,-0.460999995470047,1,0,-1,-1,0,0
,13,12.5,18.473033905029297,2.9163010120391846,45.42436218261719,1,0,0,1,1,26.55500030517578,4,12.5,7,12.5,13,2.954239845275879,2063.37255859375,1,12.75,-0.037938833236694336,0,0,0.5,-0.5,12.75,12.75,6.375,-6.375,0,0,0.05500030517578125,1,0,0.5,-0.5,0,0
1,13,12.5,19.20364761352539,2.954239845275879,45.42436218261719,1,0,0,1,1,26.5,,13,12,12.5,13,2.9163010120391846,2063.37255859375,1,12.75,0.037938833236694336,0,0,0.5,-0.5,12.75,12.75,6.375,-6.375,0,0,-0.05500030517578125,1,0,0.5,-0.5,0,0
1,12,12,10.609397888183594,2.3617401123046875,29.18548583984375,1,0,0,0,1,0.4169999957084656,,12,7,12,12,2.376628875732422,851.7926025390625,0,12,-0.014888763427734375,0,0,0,0,12,12,0,0,0,0,-4.583000183105469,0,0,0,0,0,0
,12,12,10.768538475036621,2.376628875732422,29.18548583984375,0,0,0,0,1,5,,12,9,12,12,2.3617401123046875,851.7926025390625,0,12,0.014888763427734375,0,0,0,0,12,12,0,0,0,0,4.583000183105469,0,0,0,0,0,0
,13,13,12.731277465820312,2.5440616607666016,41.08418273925781,1,1,0,1,0,15,,15,14,17,14,2.405757188796997,1687.9100341796875,0,13.5,0.1383044719696045,-1,4,0,3,13,15.5,0,46.5,1,0,2,0,1,0,0,0,3
1,14,17,11.086820602416992,2.405757188796997,41.08418273925781,1,1,0,0,0,13,,15,14,13,13,2.5440616607666016,1687.9100341796875,0,15,-0.1383044719696045,1,-4,-3,0,15.5,13,-46.5,0,-1,0,-2,0,1,0,0,-3,0
1,16.33333396911621,13.666666984558105,32.186649322509766,3.234818935394287,40.655941009521484,1,0.3333333432674408,0.3333333432674408,0,1,4,3,10,12.333333015441895,17,14.333333015441895,2.673353433609009,1652.905517578125,1,14,0.5614655017852783,2.0000009536743164,3.3333330154418945,2.6666669845581055,2.6666669845581055,15,15.666666030883789,40.000003814697266,41.77778244018555,0,0,-2,1,0,2.6666669845581055,2.6666669845581055,0,0
,14.333333015441895,17,15.53136157989502,2.673353433609009,40.655941009521484,1,0.3333333432674408,0.6666666865348816,0,1,6,3,10.666666984558105,12.333333015441895,13.666666984558105,16.33333396911621,3.234818935394287,1652.905517578125,1,16.666667938232422,-0.5614655017852783,-2.0000009536743164,-3.3333330154418945,-2.6666669845581055,-2.6666669845581055,15.666666030883789,15,-41.77778244018555,-40.000003814697266,0,0,2,1,0,-2.6666669845581055,-2.6666669845581055,0,0
1,15,14,10.609397888183594,2.3617401123046875,30.450363159179688,1,1,0,0,0,3,,18,12,14,14,2.584883689880371,927.224609375,0,14,-0.2231435775756836,1,0,1,0,14.5,14,14.5,0,0,-1,-3,0,1,0,0,1,0
,14,14,13.261747360229492,2.584883689880371,30.450363159179688,0,1,0,0,1,6,,18,16,14,15,2.3617401123046875,927.224609375,0,14.5,0.2231435775756836,-1,0,0,-1,14,14.5,0,-14.5,0,1,3,0,1,0,0,0,-1
1,12,16,7.957048416137695,2.0740580558776855,51.84120178222656,1,1,0,0,1,3,,8,8,12,16,2.767205238342285,2687.51025390625,0,16,-0.6931471824645996,-4,-4,-4,-4,14,14,-56,-56,0,1,-2,0,0,0,0,0,0
,16,12,15.91409683227539,2.767205238342285,51.84120178222656,1,1,0,0,0,5,,3,3,16,12,2.0740580558776855,2687.51025390625,0,12,0.6931471824645996,4,4,4,4,14,14,56,56,0,-1,2,0,0,0,0,0,0
1,14,14,7.426578521728516,2.0050652027130127,20.429840087890625,1,1,1,0,0,0.08299994468688965,,14,16,14,14,1.506074070930481,417.37835693359375,0,14,0.49899113178253174,0,0,0,0,14,14,0,0,0,0,-1.9170000553131104,0,1,0,0,0,0
,14,14,4.508994102478027,1.506074070930481,20.429840087890625,1,1,0,0,0,2,,14,16,14,14,2.0050652027130127,417.37835693359375,0,14,-0.49899113178253174,0,0,0,0,14,14,0,0,0,0,1.9170000553131104,0,1,0,0,0,0
1,12,16,10.25928783416748,2.32818341255188,32.35865783691406,1,1,0,0,1,14,,6,8,12,16,2.2282087802886963,1047.082763671875,0,16,0.0999746322631836,-4,-4,-4,-4,14,14,-56,-56,0,0,12,0,0,0,0,0,0
,16,12,9.283223152160645,2.2282087802886963,32.35865783691406,1,1,0,0,1,2,,8,8,16,12,2.32818341255188,1047.082763671875,0,12,-0.0999746322631836,4,4,4,4,14,14,56,56,0,0,-12,0,0,0,0,0,0
,12,12,7.957048416137695,2.0740580558776855,50.149200439453125,1,1,0,0,1,17,,8,8,12,12,1.9935709238052368,2514.9423828125,0,12,0.08048713207244873,0,0,0,0,12,12,0,0,0,0,-13,0,0,0,0,0,0
1,12,12,7.341703414916992,1.9935709238052368,50.149200439453125,1,1,0,0,1,30,,8,8,12,12,2.0740580558776855,2514.9423828125,0,12,-0.08048713207244873,0,0,0,0,12,12,0,0,0,0,13,0,0,0,0,0,0
,16,18,11.935572624206543,2.479523181915283,42.54893493652344,1,0,0,0,1,3.5,,9,12,14,18,3.4603524208068848,1810.411865234375,0,18,-0.9808292388916016,-2,-4,-2,-4,17,16,-34,-64,0,0,-0.5,0,0,0,0,0,0
1,18,14,31.82819366455078,3.4603524208068848,42.54893493652344,1,0,1,0,1,4,,8,12,18,16,2.479523181915283,1810.411865234375,0,15,0.9808292388916016,2,4,4,2,16,17,64,34,0,0,0.5,0,0,0,0,0,0
1,12,12,7.07293176651001,1.9562751054763794,27.74810791015625,1,0,0,0,1,,,12,12,12,12,2.221978187561035,769.95751953125,0,12,-0.26570308208465576,0,0,0,0,12,12,0,0,0,0,,1,0,0,0,0,0
,12,12,9.225563049316406,2.221978187561035,27.74810791015625,1,0,0,0,1,10,,12,12,12,12,1.9562751054763794,769.95751953125,0,12,0.26570308208465576,0,0,0,0,12,12,0,0,0,0,,1,0,0,0,0,0
1,16,15,9.51828384399414,2.251554250717163,25.20807456970215,1,0,0,0,1,1.399999976158142,3,12.333333015441895,12,16.33333396911621,15.666666984558105,2.033306121826172,635.447021484375,1,15.333333969116211,0.2182481288909912,0.33333301544189453,1.333333969116211,1,0.6666669845581055,15.5,16,15.5,10.666671752929688,-0.3333333432674408,1,-0.2943333387374878,1,0,1,0.6666669845581055,0,0
,15.666666984558105,16.33333396911621,7.902991771697998,2.033306121826172,25.20807456970215,1,0,0,0.3333333432674408,0,1.6943333148956299,3,12.666666984558105,12,15,16,2.251554250717163,635.447021484375,1,16.166667938232422,-0.2182481288909912,-0.33333301544189453,-1.333333969116211,-0.6666669845581055,-1,16,15.5,-10.666671752929688,-15.5,0.3333333432674408,-1,0.2943333387374878,1,0,-0.6666669845581055,-1,0,0
1,13.5,12.5,12.560775756835938,2.52868390083313,58.34325408935547,1,0,1,0.5,1,32.5,4,11,11,12,12,2.391054153442383,3403.935302734375,1,12.25,0.13762974739074707,1.5,-0.5,1,0,13,12,13,0,0.5,0,15.5,1,0,1,0,0,0
,12,12,11.478524208068848,2.391054153442383,58.34325408935547,1,0,0.5,0,1,17,4,11,11.5,12.5,13.5,2.52868390083313,3403.935302734375,1,12.75,-0.13762974739074707,-1.5,0.5,0,-1,12,13,0,-13,-0.5,0,-15.5,1,0,0,-1,0,0
,16,16,18.560396194458008,2.920612096786499,42.925048828125,1,0,0,1,0,6.5,1,8,8,16,16,2.683382987976074,1842.559814453125,1,16,0.2372291088104248,0,0,0,0,16,16,0,0,0,0,1,0,0,0,0,0,0
1,16,16,14.636129379272461,2.683382987976074,42.925048828125,1,0,0,1,0,5.5,2,7,8,16,16,2.920612096786499,1842.559814453125,1,16,-0.2372291088104248,0,0,0,0,16,16,0,0,0,0,-1,0,0,0,0,0,0
,12.5,12,8.690881729125977,2.1620004177093506,38.14202117919922,1,1,0,0,1,17,,12,12,12,12,1.8072515726089478,1454.813720703125,1,12,0.35474884510040283,0.5,0,0.5,0,12.25,12,6.125,0,0,0,16.350000381469727,1,0,0.5,0,0,0
1,12,12,6.152349472045898,1.8072515726089478,38.14202117919922,1,1,0,0,1,0.6499999761581421,3,12,12,12,12.5,2.1620004177093506,1454.813720703125,1,12.25,-0.35474884510040283,-0.5,0,0,-0.5,12,12.25,0,-6.125,0,0,-16.350000381469727,1,0,0,-0.5,0,0
,14,14,39.78524398803711,3.6834959983825684,45.3935546875,1,0,1,0,0,18,,18,16,12,14,4.66432523727417,2060.57470703125,0,14,-0.9808292388916016,0,-2,0,-2,14,13,0,-26,0,0,-2,0,1,0,0,0,-2
1,14,12,106.09397888183594,4.66432523727417,45.3935546875,1,0,1,0,0,20,,18,14,14,14,3.6834959983825684,2060.57470703125,0,13,0.9808292388916016,0,2,2,0,13,14,26,0,0,0,2,0,1,0,0,2,0
,16.5,16.5,8.956986427307129,2.1922249794006348,33.42162322998047,1,1,0,0,0.5,9,1,4,8,13,13,2.2390356063842773,1117.0048828125,1,14.75,-0.04681062698364258,3.5,-3.5,0,0,16.5,13,0,0,0,0.5,0,0,0,0,0,0,0
1,13,13,9.385393142700195,2.2390356063842773,33.42162322998047,1,1,0,0,0,9,1,12,8,16.5,16.5,2.1922249794006348,1117.0048828125,1,14.75,0.04681062698364258,-3.5,3.5,0,0,13,16.5,0,0,0,-0.5,0,0,0,0,0,0,0
,12,12.333333015441895,10.941597938537598,2.3924901485443115,37.674652099609375,1,0,0,1,1,8.699999809265137,3.5,6.333333492279053,8,12,13.666666984558105,2.495992422103882,1419.37939453125,1,13,-0.10350227355957031,-1.6666669845581055,-0.33333301544189453,-0.33333301544189453,-1.6666669845581055,12.166666030883789,12.833333969116211,-4.055551528930664,-21.388893127441406,0,0,6.672333717346191,0,0,0,0,0,0
1,13.666666984558105,12,12.165346145629883,2.495992422103882,37.674652099609375,1,0,0,1,1,2.0276663303375244,1,8,10.333333015441895,12.333333015441895,12,2.3924901485443115,1419.37939453125,1,12,0.10350227355957031,1.6666669845581055,0.33333301544189453,1.6666669845581055,0.33333301544189453,12.833333969116211,12.166666030883789,21.388893127441406,4.055551528930664,0,0,-6.672333717346191,0,0,0,0,0,0
,14,14,5.227189064025879,1.653763771057129,37.91991424560547,1,0,0,0,0,7.958499908447266,4,14,13.5,14,14,1.653763771057129,1437.919921875,1,14,0,0,0,0,0,14,14,0,0,0,0,0,1,0,0,0,0,0
1,14,14,5.227189064025879,1.653763771057129,37.91991424560547,1,0,0,0,0,7.958499908447266,4,12,12,14,14,1.653763771057129,1437.919921875,1,14,0,0,0,0,0,14,14,0,0,0,0,0,1,0,0,0,0,0
,16,16,7.016348361968994,1.9482429027557373,31.066390991210938,1,0,0,0,0,3.5,,18,18,16,16,1.9954957962036133,965.1206665039062,0,16,-0.04725289344787598,0,0,0,0,16,16,0,0,0,0,-0.2999992370605469,0,1,0,0,0,0
1,16,16,7.355849266052246,1.9954957962036133,31.066390991210938,1,0,0,0,0,3.799999237060547,,18,18,16,16,1.9482429027557373,965.1206665039062,0,16,0.04725289344787598,0,0,0,0,16,16,0,0,0,0,0.2999992370605469,0,1,0,0,0,0
1,15,14,7.182819366455078,1.9651780128479004,31.074600219726562,1,0,0,0,0.5,5.25,5,15,12,13,13,2.0394554138183594,965.6307983398438,1,13.5,-0.07427740097045898,2,-1,1,0,14.5,13,14.5,0,0,0.5,-4.75,1,0,1,0,0,0
,13,13,7.705671787261963,2.0394554138183594,31.074600219726562,1,0,0.5,0,0,10,4,12,10,14,15,1.9651780128479004,965.6307983398438,1,14,0.07427740097045898,-2,1,0,-1,13,14.5,0,-14.5,0,-0.5,4.75,1,0,0,-1,0,0
1,15,14,19.09691619873047,2.949526786804199,37.85078430175781,1,0,0,1,1,5,,18,15,14,13,2.8317437171936035,1432.681884765625,0,13.5,0.1177830696105957,2,0,1,1,14.5,13.5,14.5,13.5,0,0,4,0,1,0,0,1,1
,13,14,16.97503662109375,2.8317437171936035,37.85078430175781,1,0,0,1,1,1,,15,14,14,15,2.949526786804199,1432.681884765625,0,14.5,-0.1177830696105957,-2,0,-1,-1,13.5,14.5,-13.5,-14.5,0,0,-4,0,1,0,0,-1,-1
,14,14,5.304698944091797,1.6685930490493774,21.74127197265625,1,1,1,0,0,2,,16,16,13,13,1.6685930490493774,472.6828918457031,0,13.5,0,1,-1,0,0,14,13,0,0,0,0,0,0,1,0,0,0,0
1,13,13,5.304698944091797,1.6685930490493774,21.74127197265625,1,1,0,0,0,2,,16,16,14,14,1.6685930490493774,472.6828918457031,0,13.5,0,-1,1,0,0,13,14,0,0,0,0,0,0,1,0,0,0,0
,16,13,23.340675354003906,3.1501975059509277,42.77070617675781,1,0,0,0,1,5.5,,16,16,16,14,3.10367751121521,1829.333251953125,0,13.5,0.04651999473571777,2,3,3,2,14.5,15,43.5,30,0,1,1.5,0,1,0,0,3,2
1,14,16,22.279735565185547,3.10367751121521,42.77070617675781,1,0,0,0,0,4,,16,16,13,16,3.1501975059509277,1829.333251953125,0,16,-0.04651999473571777,-2,-3,-2,-3,15,14.5,-30,-43.5,0,-1,-1.5,0,1,0,0,-2,-3
,15,16,16.97503662109375,2.8317437171936035,33.03764343261719,1,0,0,0,0,2,,14,12,16,15,2.949526786804199,1091.48583984375,0,15.5,-0.1177830696105957,0,0,-1,1,15.5,15.5,-15.5,15.5,-1,0,-8,0,1,0,0,-1,1
1,15,16,19.09691619873047,2.949526786804199,33.03764343261719,1,0,0,1,0,10,,14,12,16,15,2.8317437171936035,1091.48583984375,0,15.5,0.1177830696105957,0,0,-1,1,15.5,15.5,-15.5,15.5,1,0,8,0,1,0,0,-1,1
,12,12.5,8.47175121307373,2.103844404220581,27.70978546142578,1,1,0,0,1,4.5,4,12,10,12,13,1.8804733753204346,767.8322143554688,1,12.75,0.22337102890014648,-1,-0.5,-0.5,-1,12.25,12.5,-6.125,-12.5,0,0,0.25,0,0,0,0,0,0
1,13,12,6.556607723236084,1.8804733753204346,27.70978546142578,1,1,0,0,1,4.25,4,12,9.5,12.5,12,2.103844404220581,767.8322143554688,1,12,-0.22337102890014648,1,0.5,1,0.5,12.5,12.25,12.5,6.125,0,0,-0.25,0,0,0,0,0,0
,10,10,6.630873680114746,1.891736626625061,47.74263000488281,1,1,1,0,1,3,,9,9,10,10,2.207589626312256,2279.358642578125,0,10,-0.3158529996871948,0,0,0,0,10,10,0,0,0,0,-7,0,0,0,0,0,0
1,10,10,9.093770027160645,2.207589626312256,47.74263000488281,1,1,1,0,1,10,,8,8,10,10,1.891736626625061,2279.358642578125,0,10,0.3158529996871948,0,0,0,0,10,10,0,0,0,0,7,0,0,0,0,0,0
1,18,18,29.880685806274414,3.397212266921997,51.33195495605469,1,0,0,0,1,2,,12,12,18,18,3.160247802734375,2634.969482421875,0,18,0.23696446418762207,0,0,0,0,18,18,0,0,0,0,-5,1,0,0,0,0,0
,18,18,23.576438903808594,3.160247802734375,51.33195495605469,1,0,1,0,1,7,,12,12,18,18,3.397212266921997,2634.969482421875,0,18,-0.23696446418762207,0,0,0,0,18,18,0,0,0,0,5,1,0,0,0,0,0
1,16,14,13.792217254638672,2.6241044998168945,36.94181823730469,1,0,0,1,0,8,,16,16,16,15,2.8064260482788086,1364.6978759765625,0,14.5,-0.18232154846191406,1,2,2,1,15,15.5,30,15.5,1,-1,0,0,1,0,0,2,1
,15,16,16.550661087036133,2.8064260482788086,36.94181823730469,1,0,0,0,1,8,,16,16,14,16,2.6241044998168945,1364.6978759765625,0,16,0.18232154846191406,-1,-2,-1,-2,15.5,15,-15.5,-30,-1,1,0,0,1,0,0,-1,-2
,14,13.666666984558105,9.861385345458984,2.2886221408843994,34.1357536315918,1,0,0,0,0,5.333333492279053,3,12,14,14,12.333333015441895,2.473546266555786,1165.2496337890625,1,13,-0.18492412567138672,1.6666669845581055,0.33333301544189453,0.33333301544189453,1.6666669845581055,13.833333969116211,13.166666030883789,4.611106872558594,21.944448471069336,-0.3333333432674408,-0.6666666865348816,3.250000238418579,0,1,0,0,0.33333301544189453,1.6666669845581055
1,12.333333015441895,14,11.865458488464355,2.473546266555786,34.1357536315918,1,0,0,0.3333333432674408,0.6666666865348816,2.0833332538604736,3,12,14,13.666666984558105,14,2.2886221408843994,1165.2496337890625,1,14,0.18492412567138672,-1.6666669845581055,-0.33333301544189453,-1.6666669845581055,-0.33333301544189453,13.166666030883789,13.833333969116211,-21.944448471069336,-4.611106872558594,0.3333333432674408,0.6666666865348816,-3.250000238418579,0,1,0,0,-1.6666669845581055,-0.33333301544189453
,14,13,9.813693046569824,2.283778667449951,34.86653137207031,1,0,0,1,0,8,,18,16,14,14,2.0412683486938477,1215.675048828125,0,13.5,0.24251031875610352,0,1,1,0,13.5,14,13.5,0,1,-1,-2,0,1,0,0,1,0
1,14,14,7.700369834899902,2.0412683486938477,34.86653137207031,1,0,0,0,1,10,,18,16,13,14,2.283778667449951,1215.675048828125,0,14,-0.24251031875610352,0,-1,0,-1,14,13.5,0,-13.5,-1,1,2,0,1,0,0,0,-1
1,12,12,13.130873680114746,2.574916362762451,32.01539611816406,1,1,0,0,0,14,3,12,12,12,12,1.891736626625061,1024.985595703125,1,12,0.6831797361373901,0,0,0,0,12,12,0,0,0,-1,7.25,1,0,0,0,0,0
